Bundesland;Landkreis;Verwaltung;man;woman;older75;catholic;evangelic
1;54;Gemeinde;383;375;62;24;598
1;54;Gemeinde;28;30;0;3;55
1;54;Gemeinde;1538;1549;228;147;2287
1;54;Gemeinde;175;152;30;0;239
1;54;Gemeinde;182;162;51;19;277
1;54;Gemeinde;131;136;21;3;207
1;54;Gemeinde;502;492;92;32;758
1;54;Gemeinde;84;96;19;10;135
1;55;Stadtkreis/kreisfreie Stadt/Landkreis;95265;103148;21452;12441;114638
1;55;Gemeinde;4167;4250;606;376;5292
1;55;Gemeinde;9033;10403;2434;1199;10559
1;55;Gemeinde;1760;1712;284;150;2176
1;55;Gemeinde;582;664;167;79;649
1;55;Gemeinde;7701;8748;1918;1143;9431
1;55;Gemeinde;3337;3658;1007;505;3896
1;55;Gemeinde;481;537;115;54;715
1;55;Gemeinde;4338;4740;1132;681;5291
1;55;Gemeinde;472;564;162;80;603
1;55;Gemeinde;5024;5499;1390;602;6191
1;55;Gemeinde;7117;7908;1739;1054;8007
1;55;Gemeinde;4724;5008;1050;640;5861
1;55;Gemeinde;7305;7912;1392;873;8579
1;55;Gemeinde;8010;8507;1452;1069;9135
1;55;Gemeinde;2648;2699;325;300;3271
1;55;Gemeinde;4102;4687;1130;721;4325
1;55;Gemeinde;5180;5551;1212;791;5542
1;55;Gemeinde;6054;6429;1356;854;7684
1;55;Gemeindeverband;4611;4660;929;405;6071
1;55;Gemeinde;580;595;86;38;789
1;55;Gemeinde;767;719;99;51;1006
1;55;Gemeinde;975;1129;335;136;1251
1;55;Gemeinde;552;550;98;42;741
1;55;Gemeinde;611;599;107;66;750
1;55;Gemeinde;1126;1068;204;72;1534
1;55;Gemeindeverband;4224;4542;803;391;5862
1;55;Gemeinde;248;278;42;18;347
1;55;Gemeinde;326;353;61;32;409
1;55;Gemeinde;341;335;59;28;459
1;55;Gemeinde;201;241;40;21;310
1;55;Gemeinde;2410;2673;482;248;3373
1;55;Gemeinde;192;191;31;9;256
1;55;Gemeinde;506;471;88;35;708
1;55;Gemeindeverband;4395;4470;849;474;5498
1;55;Gemeinde;512;528;94;54;709
1;55;Gemeinde;736;735;113;68;907
1;55;Gemeinde;1102;1082;140;128;1342
1;55;Gemeinde;1269;1343;265;128;1777
1;55;Gemeinde;776;782;237;96;763
1;56;Stadtkreis/kreisfreie Stadt/Landkreis;144046;152295;26625;19019;121116
1;56;Gemeinde;4780;5012;944;563;4857
1;56;Gemeinde;22819;24640;4064;3485;19803
1;56;Gemeinde;7929;8448;1378;1178;5894
1;56;Gemeinde;680;728;124;132;657
1;56;Gemeinde;19793;21344;3735;2876;14531
